,base1_run_id,pitcher_number,rbi_ct,denom,failure_rate
0,no,1,37964,612066,0.062025991
1,no,2,6814,108886,0.062579211
2,no,3,5021,85038,0.059044192
3,no,4,3333,57541,0.057923915
4,no,5,1679,29644,0.05663878
5,no,6,699,12143,0.057564029
6,no,7,245,4396,0.055732484
7,no,8,97,1508,0.064323607
8,no,9,21,438,0.047945205
9,no,10,5,93,0.053763441
10,no,11,3,24,0.125
11,no,12,0,4,0
12,no,13,0,2,0
13,yes,1,31704,263820,0.120172845
14,yes,2,7796,57908,0.13462734
15,yes,3,5637,44621,0.126330651
16,yes,4,3923,30988,0.126597393
17,yes,5,2131,15943,0.133663677
18,yes,6,889,6801,0.130716071
19,yes,7,362,2536,0.142744479
20,yes,8,142,948,0.14978903
21,yes,9,51,294,0.173469388
22,yes,10,16,58,0.275862069
23,yes,11,1,24,0.041666667
24,yes,12,1,4,0.25
25,yes,13,0,3,0
